timestamp,username,nilai,waktu,jumlah_kocok_dadu,muncul_soal,jawab_benar
11/2/2023 20:13,bahauddin,A,11,3,1,1
11/2/2023 20:13,bahauddin,B,15,7,0,0
11/2/2023 20:13,bahauddin,A,13,5,2,2
11/2/2023 20:13,alfan,A,11,3,1,1
11/2/2023 20:14,alfan,A,16,5,2,2
11/2/2023 20:14,alfan,AB,24,8,4,2
11/2/2023 20:16,indana,A,19,7,3,3
12/2/2023 17:47,bahauddin,A,11,4,1,1
12/2/2023 17:47,bahauddin,B,20,6,2,1
12/2/2023 18:56,arifin,A,14,5,2,2
14/02/2023   12:04:10 PM,bahauddin,C,22,7,2,0
14/02/2023   04:35:09 PM,,AB,16,5,1,1
14/02/2023   05:15:02 PM,,A,26,5,2,2
14/02/2023   05:17:12 PM,bahauddin,A,22,4,2,2
14/02/2023   05:20:04 PM,udin,BC,27,7,3,1
14/02/2023   05:20:50 PM,bahauddin,B,18,7,1,1
04/03/2023   01:04:40 PM,,A,13,1,2,0
04/03/2023   02:51:15 PM,,AB,15,4,1,1
04/03/2023   02:58:42 PM,,A,22,4,4,3
04/03/2023   02:59:49 PM,,A,19,4,2,2
04/03/2023   03:01:16 PM,,B,19,7,1,1
04/03/2023   03:13:52 PM,,BC,27,7,2,1
04/03/2023   03:47:47 PM,,BC,38,9,4,1
04/03/2023   03:59:07 PM,,BC,24,8,2,0
04/03/2023   04:04:44 PM,,A,28,4,4,2
04/03/2023   04:18:35 PM,,A,23,5,2,2
04/03/2023   05:03:00 PM,,C,22,6,1,0
04/03/2023   05:03:26 PM,,A,24,6,3,2
07/03/2023   07:37:26 PM,bahauddin ,B,42,11,4,2
